Date:  14:13, Friday, November 04, 2022
Model name: 3DhoneyAssem
Study name: StarHoneycomb(-Default-)
Plot type: Static displacement Displacement2
Result Type: UY 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
4914  ,-2.653e-02  ,124.25617218  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4915  ,1.138e+00  ,116.11477661  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4924  ,-2.529e-04  ,-17.31415749  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4953  ,7.552e-01  ,132.43226624  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4954  ,7.313e-01  ,132.40129089  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
5051  ,-8.052e-01  ,133.24473572  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
5052  ,-8.095e-01  ,133.25047302  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
5053  ,-9.983e-01  ,141.41195679  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
5064  ,-1.060e+00  ,84.24720001  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
5069  ,1.773e-03  ,-10.28388786  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
5090  ,1.612e-01  ,149.57360840  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
5124  ,9.452e-01  ,2.80446315  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
5125  ,6.591e-02  ,-0.41762808  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
5126  ,9.457e-01  ,2.80441737  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
5129  ,3.765e-02  ,-3.04805470  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
5130  ,1.047e-02  ,-3.04810047  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
5134  ,3.107e-02  ,-3.05137944  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
5135  ,6.513e-03  ,-5.68185186  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
5149  ,2.369e-01  ,125.07733917  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
5150  ,8.350e-04  ,-12.55807686  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
5153  ,1.325e-01  ,212.49829102  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
5158  ,1.585e-01  ,207.91018677  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
